"","ID","Labels","dist2labeled #1","dist2labeled #2","nearest2labeled #1","nearest2labeled #2","dist2unlabeled #1","dist2unlabeled #2","nearest2unlabeled #1","nearest2unlabeled #2","K-NN dist2labeled ","K-NN dist2unlabeled ","cluster","clusterQuality","#AAD days","#ActivityName","#Token days","#SharedAADVol","#SharedTokenVol"
"1667","4b604131-0c0c-4df1-af74-b47a27f9a495",TRUE,"0.0692311349585897","0.102103244996976","86aae7c7-26ea-46f4-83ae-899e50f5854e","b00a53e9-3e50-4a49-bdc5-dcc689fcf301","0.0982177248528626","0.157013489339835","1a64099f-9cf6-4579-b1f9-b47fe1bc60d3","0a3b0354-c08d-439b-9778-b5412de66c49","0.286","0.352",2,0.468859342197341,0,1,96,0,2565
"1668","52c45313-3bb1-43ef-8124-8c8afc9e779c",TRUE,"0.0300890349371","0.0519870857316723","bc15390b-39ca-4339-9eaf-5b84d2239ccb","6df4cfae-3d10-45f1-93a5-f55fe294a0dd","0.0273369602538684","0.0516499022280251","87a83f64-75c4-4dcb-bbd3-cc33e7734652","b41496b3-dd0c-438e-be47-afb7e3f328c6","0.137","0.082",4,0.582608695652174,0,1,33,0,625
"1669","55ed1779-20d6-4546-916f-5d3f83d6488b",TRUE,"0.00250242095264031","0.0251997093994938","1fbd70ca-9f9a-434b-8d89-9ddbc9291edd","fb51e7f8-24d7-40dd-b53b-0129ebaf951e","0.0250804447113161","0.0256513769643922","797fb907-7082-48ff-9a10-de25c8c6348c","3a9fc842-0e78-4e3c-8b45-3d2186a0fd29","0.103","0.041",1,0.329400196656834,0,1,14,0,33
"1670","5764643a-7a01-480d-8f97-a0e4bef28989",TRUE,"0.00360467714997229","0.0267185924038287","2ae33707-351c-45de-8289-65c1298f1e48","d133d45f-bab2-46a1-a75f-8de7c4e5dee2","0.0252157711976078","0.0502152641145519","336289e6-7416-4aeb-a6d4-9baea976ab5a","54133dea-6829-415e-b414-5456f35eb77c","0.125","0.083",3,0.477434679334917,0,2,10,0,2
"1671","57805cc2-a454-47d7-8f95-55166d90b9c9",TRUE,"0.026036742096217","0.0264333256237496","d4c5fbff-ccf6-48d8-8203-260123142565","e021ec19-1a78-4d24-9271-9d7a522a8531","0.0259879430407127","0.0277870810646558","613cca5d-dd2e-4473-ab01-e1193e798037","d8227eec-bdf7-48a9-ab40-3ec36b6abc44","0.096","0.043",1,0.329400196656834,0,1,22,0,10
"1672","6220ba14-1850-4fea-9ccd-32acded1d48e",TRUE,"0.0251125134192091","0.0333676831944616","2d33e0e4-4685-4131-ac80-1bf1c29b9ea6","53e1d21b-a958-4352-8e1a-7ab49137d66a","0.0873531004097084","0.118494721872025","d0df218c-d18b-4f44-8a8a-1646de74723f","52eb0ef9-6d4d-48ed-acb2-4a3692bdd68e","0.201","0.192",4,0.582608695652174,0,2,45,0,182
"1673","6b1b4064-7f05-4792-857f-bbd1af527e18",TRUE,"0.123524675229574","0.13023710442188","9c72d32e-66f4-4e08-b55a-5bde33f76942","12cd0fec-88f7-4eb6-993a-22d9715de644","0.0606429342344221","0.0883878812071301","825b38e9-ca15-495e-ad48-ab21ff0afa30","2f4e8086-5171-4a53-945c-e81cc9548d2c","0.268","0.149",4,0.582608695652174,0,1,55,0,3268
"1674","6df4cfae-3d10-45f1-93a5-f55fe294a0dd",TRUE,"0.0253128957339441","0.0265275436921365","bc15390b-39ca-4339-9eaf-5b84d2239ccb","4667418b-7015-4ceb-b207-2193896769a8","0.00197779809813345","0.0252863402223888","b41496b3-dd0c-438e-be47-afb7e3f328c6","87a83f64-75c4-4dcb-bbd3-cc33e7734652","0.15","0.079",4,0.582608695652174,0,1,35,0,130
"1675","741f1473-6d64-4d1c-bc73-2fcb2168fab8",TRUE,"0.00265524299180439","0.00850591432240307","45c99e95-a602-4b84-9dae-173644e691a9","3ec8ad28-a941-42e1-9b7d-debd6aa6c87d","0.00134249651100746","0.00395248297482892","fa464d76-932d-4c1c-9f08-f69cc8030d12","89a3300b-9d08-47f5-95ea-e64332a3720a","0.103","0.027",3,0.477434679334917,0,3,4,0,3
"1676","7960f8cf-ae95-480b-8739-37ce7bbc33ab",TRUE,"0.00805166871369927","0.00910584606790831","4003a649-d7f5-408a-b9be-65857f2472f4","ebe13e2f-6b99-4be7-bca2-768cbf5d1e94","0.000492604050121621","0.00144838787044178","e1cffab9-474c-4ca5-8aba-696a61dd2942","fb071676-b5a3-4580-9e76-e4628f70963e","0.026","0.004",1,0.329400196656834,0,1,3,0,13
